"tag","ordinal","asset"
"8K2_AXL_DISP_01","1","8K2"
"8K2_AXL_DISP_02","2","8K2"
"8K2_AXL_DISP_03","3","8K2"
"8K2_AXL_DISP_04","4","8K2"
"8K2_PRESS_01","5","8K2"
"8K2_PRESS_02","6","8K2"
"8K2_PRESS_03","7","8K2"
"8K2_PRESS_04","8","8K2"
"8K2_PRESS_05","9","8K2"
"8K2_TEMP_01","10","8K2"
"8K2_TEMP_02","11","8K2"
"8K2_TEMP_03","12","8K2"
"8K2_TEMP_04","13","8K2"
"8K2_TEMP_05","14","8K2"
"8K2_TEMP_06","15","8K2"
"8K2_TEMP_07","16","8K2"
"8K2_TEMP_08","17","8K2"
"8K2_TEMP_09","18","8K2"
"8K2_TEMP_10","19","8K2"
"8K2_TEMP_11","20","8K2"
"8K2_VIBR_01","21","8K2"
"8K2_VIBR_02","22","8K2"
"8K2_VIBR_03","23","8K2"
"8K2_VIBR_04","24","8K2"
"8K2_SPD_01","25","8K2"
"MBZ_AXL_DISP_01","1","MBZ"
"MBZ_AXL_DISP_02","2","MBZ"
"MBZ_AXL_DISP_03","3","MBZ"
"MBZ_AXL_DISP_04","4","MBZ"
"MBZ_PRESS_01","5","MBZ"
"MBZ_PRESS_02","6","MBZ"
"MBZ_PRESS_03","7","MBZ"
"MBZ_PRESS_04","8","MBZ"
"MBZ_PRESS_05","9","MBZ"
"MBZ_TEMP_01","10","MBZ"
"MBZ_TEMP_02","11","MBZ"
"MBZ_TEMP_03","12","MBZ"
"MBZ_TEMP_04","13","MBZ"
"MBZ_TEMP_05","14","MBZ"
"MBZ_TEMP_06","15","MBZ"
"MBZ_TEMP_07","16","MBZ"
"MBZ_TEMP_08","17","MBZ"
"MBZ_TEMP_09","18","MBZ"
"MBZ_TEMP_10","19","MBZ"
"MBZ_TEMP_11","20","MBZ"
"MBZ_VIBR_01","21","MBZ"
"MBZ_VIBR_02","22","MBZ"
"MBZ_VIBR_03","23","MBZ"
"MBZ_VIBR_04","24","MBZ"
"MBZ_SPD_01","25","MBZ"